player_name,Current Rating,Consistency,Speed,Aggressiveness,Avg Points Per Game,Avg Games (Stamina),Giant-Slayer Rate,Berserk Win Rate,Favorite Opponents,Nemesis Players,True Avg Performance,Consistency_norm,Speed_norm,Aggressiveness_norm
a-king,1730,0.8878617503884105,0.5390447687789026,0.007800432499227679,0.6114521263467624,13.777777777777779,26.666666666666668,0.4016064257028112,"['genuine99 (60%)', 'overgiftedlight (42%)', 'spicypearl8 (39%)']","['vegakov (8%)', 'hardeywale (9%)', 'eburu_sanmi (25%)']",0.14710688340517888,0.8878617503884105,0.5390447687789026,0.007800432499227679
adet2510,2059,0.32378061424598426,0.541920946308169,0.017901453385324353,1.5230934087841983,12.875,3.508771929824561,0.9216589861751152,"['lexzero2 (80%)', 'ageless_2 (60%)', 'bayormiller_cno (60%)']","['hardeywale (21%)', 'anthonyoja (43%)', 'vegakov (46%)']",0.473435410109559,0.32378061424598426,0.541920946308169,0.017901453385324353
adeyemoabiola99,1937,0.5677619222617158,0.5225897146451194,0.13630229419703102,0.7002597402597402,10.0,22.22222222222222,7.017543859649122,[],[],0.15011944208731434,0.5677619222617158,0.5225897146451194,0.13630229419703102
ageless_2,2238,0.45870261628046727,0.7041107045025435,0.8389116202945991,2.1446610284936627,17.09433962264151,1.0869565217391304,43.19148936170213,"['spicypearl8 (95%)', 'b4elma (88%)', 'eburu_sanmi (87%)']","['bzdybowicz (32%)', 'adet2510 (40%)', 'warlock_dabee (41%)']",0.7293451807064076,0.45870261628046727,0.7041107045025435,0.8389116202945991
anthonyoja,2319,0.6221669120040142,0.7600548560168958,0.8106001861042184,2.047493926955688,21.47826086956522,0.3415883859948762,41.733870967741936,"['genuine99 (92%)', 'lexzero2 (89%)', 'overgiftedlight (84%)']","['warlock_dabee (40%)', 'crazybugg (41%)', 'hardeywale (42%)']",0.6921373838304103,0.6221669120040142,0.7600548560168958,0.8106001861042184
b4elma,1938,0.5351348318474387,0.4691744692603767,0.0604066985645933,0.9649954741881976,11.774193548387096,21.476510067114095,3.110047846889952,"['overgiftedlight (75%)', 'spicypearl8 (71%)', 'genuine99 (70%)']","['bayormiller_cno (7%)', 'ageless_2 (12%)', 'hardeywale (18%)']",0.2762666247926807,0.5351348318474387,0.4691744692603767,0.0604066985645933
babydee,1857,0.1825480680509992,0.35863984799927817,0.0,1.145976430976431,12.133333333333333,2.2222222222222223,0.0,"['a-king (73%)', 'lexzero2 (71%)', 'spicypearl8 (60%)']","['eburu_sanmi (35%)', 'overgiftedlight (53%)', 'spicypearl8 (60%)']",0.37443835044317825,0.1825480680509992,0.35863984799927817,0.0
bayormiller_cno,2342,0.5935821366680007,0.7496965134114573,0.9997893850042122,2.310403271807958,19.183333333333334,0.2706359945872801,51.4743049705139,"['b4elma (93%)', 'spicypearl8 (90%)', 'lexzero2 (86%)']","['adet2510 (40%)', 'zgm-giantkiller (50%)', 'warlock_dabee (52%)']",0.7911172683178017,0.5935821366680007,0.7496965134114573,0.9997893850042122
bb_thegame,2127,0.560829708974336,0.30683603563121686,0.02365462683459977,1.473061271680771,12.666666666666666,1.7811704834605597,1.2178619756427604,"['overgiftedlight (85%)', 'spicypearl8 (85%)', 'lexzero2 (79%)']","['warlock_dabee (23%)', 'bayormiller_cno (37%)', 'ageless_2 (38%)']",0.44593468857711743,0.560829708974336,0.30683603563121686,0.02365462683459977
bzdybowicz,2605,0.8468655777956434,0.8687017006914715,1.0,2.6908079954954958,24.5,0.0,51.48514851485149,"['hardeywale (91%)', 'tommybrooks (90%)', 'ovokodigood (87%)']","['ageless_2 (68%)', 'ovokodigood (87%)', 'tommybrooks (90%)']",0.9767945579261452,0.8468655777956434,0.8687017006914715,1.0
